job_id;job_title;job_industry_category
1;Executive Secretary;Health
2;Administrative Officer;Financial Services
3;Recruiting Manager;Property
4;;IT
5;Senior Editor;n/a
6;;Retail
7;;Financial Services
8;Media Manager I;n/a
9;Business Systems Development Analyst;Argiculture
10;Senior Quality Engineer;Financial Services
11;;Property
12;Nuclear Power Engineer;Manufacturing
13;Developer I;Financial Services
14;Account Executive;Financial Services
15;Junior Executive;Manufacturing
16;Media Manager IV;n/a
17;Sales Associate;n/a
18;Professor;n/a
19;Geological Engineer;Manufacturing
20;Project Manager;Manufacturing
21;Safety Technician I;Manufacturing
22;;n/a
23;Research Assistant I;Argiculture
24;Accounting Assistant III;Financial Services
25;Editor;Financial Services
26;Research Nurse;Health
27;Senior Quality Engineer;Health
28;Safety Technician III;Manufacturing
29;Staff Accountant III;Telecommunications
30;Legal Assistant;Manufacturing
31;Product Engineer;n/a
32;Legal Assistant;IT
33;Information Systems Manager;Health
34;VP Quality Control;n/a
35;Social Worker;Health
36;Senior Cost Accountant;Financial Services
37;Assistant Media Planner;Entertainment
38;Payment Adjustment Coordinator;Manufacturing
39;Food Chemist;Health
40;Accountant III;Manufacturing
41;Director of Sales;Retail
42;Senior Financial Analyst;Financial Services
43;Registered Nurse;Health
44;Biostatistician II;n/a
45;Account Executive;Manufacturing
46;Computer Systems Analyst II;Retail
47;Software Test Engineer II;Financial Services
48;Sales Associate;Property
49;Paralegal;Financial Services
50;VP Sales;Property
51;Chief Design Engineer;n/a
52;Office Assistant III;Financial Services
53;Physical Therapy Assistant;n/a
54;;Manufacturing
55;Help Desk Operator;Property
56;Senior Quality Engineer;Retail
57;Information Systems Manager;Financial Services
58;Account Executive;Argiculture
59;Web Developer II;Retail
60;Information Systems Manager;n/a
61;Web Developer II;n/a
62;Research Associate;Argiculture
63;Administrative Officer;Manufacturing
64;Teacher;n/a
65;VP Product Management;Property
66;Statistician II;Retail
67;Automation Specialist IV;Financial Services
68;Data Coordiator;Entertainment
69;;Health
70;Software Test Engineer III;Property
71;Internal Auditor;IT
72;Accountant III;n/a
73;Analyst Programmer;n/a
74;Occupational Therapist;Health
75;Speech Pathologist;Health
76;Quality Control Specialist;Manufacturing
77;Recruiting Manager;Health
78;Project Manager;Retail
79;Civil Engineer;Manufacturing
80;Software Engineer III;Manufacturing
81;Community Outreach Specialist;Financial Services
82;Safety Technician IV;Health
83;VP Accounting;Financial Services
84;General Manager;Financial Services
85;Nurse Practicioner;Manufacturing
86;Product Engineer;Financial Services
87;Automation Specialist II;Health
88;Recruiting Manager;Manufacturing
89;Software Test Engineer III;Health
90;Nurse Practicioner;Financial Services
91;Marketing Assistant;n/a
92;Marketing Manager;Retail
93;Staff Scientist;n/a
94;Teacher;Entertainment
95;Account Executive;Health
96;Assistant Professor;Manufacturing
97;Marketing Manager;Manufacturing
98;Budget/Accounting Analyst IV;n/a
99;Associate Professor;n/a
100;Legal Assistant;Financial Services
101;Graphic Designer;Manufacturing
102;Quality Control Specialist;Financial Services
103;Analyst Programmer;Financial Services
104;Administrative Assistant II;Health
105;Computer Systems Analyst II;Property
106;Administrative Officer;Health
107;Compensation Analyst;Financial Services
108;Systems Administrator III;Property
109;Financial Advisor;Financial Services
110;Chemical Engineer;Manufacturing
111;Administrative Officer;Retail
112;Web Designer I;Manufacturing
113;Legal Assistant;Telecommunications
114;Senior Developer;Manufacturing
115;Office Assistant II;Property
116;Recruiter;Financial Services
117;Operator;Telecommunications
118;Programmer Analyst III;Manufacturing
119;Teacher;Financial Services
120;Quality Engineer;Health
121;Operator;Argiculture
122;Environmental Tech;IT
123;Analog Circuit Design manager;Health
124;Programmer Analyst III;n/a
125;Cost Accountant;Financial Services
126;Junior Executive;n/a
127;Quality Engineer;Manufacturing
128;Internal Auditor;n/a
129;Nurse Practicioner;IT
130;Librarian;Entertainment
131;Senior Editor;Retail
132;Administrative Officer;Argiculture
133;Structural Analysis Engineer;Manufacturing
134;General Manager;IT
135;Data Coordiator;Telecommunications
136;Pharmacist;Health
137;Assistant Manager;Manufacturing
138;Editor;Manufacturing
139;General Manager;Health
140;Accountant I;Property
141;Professor;Financial Services
142;Environmental Tech;Manufacturing
143;Web Designer III;Argiculture
144;Senior Editor;Manufacturing
145;Sales Associate;Financial Services
146;Geologist III;Retail
147;Software Test Engineer I;Financial Services
148;Structural Engineer;n/a
149;Safety Technician II;Property
150;Safety Technician I;Financial Services
151;Help Desk Operator;n/a
152;Junior Executive;Health
153;Web Developer III;Financial Services
154;Programmer Analyst II;Manufacturing
155;Physical Therapy Assistant;Property
156;Design Engineer;Manufacturing
157;Senior Quality Engineer;Argiculture
158;Administrative Assistant II;Financial Services
159;Statistician I;n/a
160;Office Assistant III;Property
161;Analog Circuit Design manager;n/a
162;Assistant Manager;Property
163;VP Marketing;Manufacturing
164;Desktop Support Technician;IT
165;Actuary;Financial Services
166;Assistant Professor;Retail
167;Quality Engineer;Financial Services
168;Administrative Officer;Property
169;Database Administrator III;Health
170;Electrical Engineer;Manufacturing
171;Tax Accountant;Manufacturing
172;Clinical Specialist;Health
173;VP Sales;n/a
174;Database Administrator IV;Manufacturing
175;Accountant I;Entertainment
176;Systems Administrator II;Manufacturing
177;Internal Auditor;Property
178;Design Engineer;Financial Services
179;Professor;Retail
180;Environmental Tech;Property
181;Chief Design Engineer;Retail
182;Account Coordinator;Property
183;Programmer III;n/a
184;Administrative Assistant III;IT
185;Quality Engineer;Entertainment
186;Nurse;Property
187;Teacher;Manufacturing
188;Associate Professor;Financial Services
189;Technical Writer;Manufacturing
190;Staff Accountant II;Financial Services
191;Quality Control Specialist;IT
192;Legal Assistant;Health
193;VP Sales;Financial Services
194;Information Systems Manager;Retail
195;Director of Sales;Health
196;Sales Associate;Manufacturing
197;Senior Developer;Health
198;Dental Hygienist;Health
199;Technical Writer;Health
200;Sales Representative;Retail
201;Account Executive;Retail
202;Nurse Practicioner;Property
203;Budget/Accounting Analyst III;n/a
204;Product Engineer;Retail
205;Computer Systems Analyst IV;n/a
206;VP Sales;Health
207;VP Product Management;n/a
208;Executive Secretary;n/a
209;Geologist I;n/a
210;VP Quality Control;Argiculture
211;Assistant Manager;Retail
212;Financial Analyst;Financial Services
213;Community Outreach Specialist;Manufacturing
214;Accounting Assistant II;Manufacturing
215;Senior Sales Associate;IT
216;Administrative Assistant III;Manufacturing
217;Recruiting Manager;n/a
218;Database Administrator II;n/a
219;Engineer I;Manufacturing
220;Budget/Accounting Analyst I;Financial Services
221;Developer IV;Manufacturing
222;Assistant Professor;Argiculture
223;Database Administrator I;IT
224;Account Coordinator;Financial Services
225;Internal Auditor;Health
226;Desktop Support Technician;Financial Services
227;Operator;Manufacturing
228;Marketing Assistant;Retail
229;Chief Design Engineer;Manufacturing
230;Environmental Specialist;Manufacturing
231;Automation Specialist II;Entertainment
232;Programmer III;Retail
233;Marketing Manager;n/a
234;Research Associate;Financial Services
235;Computer Systems Analyst I;IT
236;Computer Systems Analyst I;Financial Services
237;Help Desk Operator;Financial Services
238;Design Engineer;Health
239;Account Representative IV;Entertainment
240;Desktop Support Technician;Health
241;Statistician IV;Argiculture
242;Human Resources Manager;Health
243;;Argiculture
244;GIS Technical Architect;Financial Services
245;Programmer IV;Health
246;Recruiter;Property
247;Senior Sales Associate;Health
248;Marketing Manager;Financial Services
249;Computer Systems Analyst IV;Manufacturing
250;Legal Assistant;Property
251;Database Administrator II;Retail
252;Director of Sales;n/a
253;Accounting Assistant IV;n/a
254;Staff Scientist;Property
255;Software Engineer IV;Health
256;Software Engineer IV;Financial Services
257;Database Administrator III;Financial Services
258;VP Quality Control;Property
259;Programmer II;Manufacturing
260;;Telecommunications
261;Systems Administrator III;Financial Services
262;Graphic Designer;Property
263;Structural Analysis Engineer;Health
264;Automation Specialist II;Manufacturing
265;Staff Scientist;Argiculture
266;Senior Developer;Retail
267;Structural Engineer;Property
268;Nurse Practicioner;n/a
269;Project Manager;Health
270;Help Desk Operator;Entertainment
271;Programmer Analyst II;Health
272;Safety Technician I;Property
273;Associate Professor;Manufacturing
274;Data Coordiator;Retail
275;Systems Administrator III;Telecommunications
276;Engineer III;Manufacturing
277;Desktop Support Technician;Retail
278;Graphic Designer;n/a
279;Geologist I;Financial Services
280;Structural Analysis Engineer;n/a
281;Director of Sales;Financial Services
282;Software Consultant;n/a
283;Biostatistician IV;Argiculture
284;Senior Quality Engineer;n/a
285;Structural Engineer;Health
286;Community Outreach Specialist;IT
287;Statistician II;Property
288;GIS Technical Architect;Telecommunications
289;Systems Administrator III;Manufacturing
290;GIS Technical Architect;n/a
291;Business Systems Development Analyst;Telecommunications
292;Analyst Programmer;IT
293;Staff Scientist;Manufacturing
294;Executive Secretary;Financial Services
295;Tax Accountant;IT
296;Help Desk Technician;Argiculture
297;Software Engineer III;IT
298;VP Product Management;Manufacturing
299;Structural Analysis Engineer;Entertainment
300;Assistant Professor;IT
301;Automation Specialist I;Manufacturing
302;Recruiting Manager;Financial Services
303;Account Representative IV;Manufacturing
304;Developer III;Financial Services
305;Human Resources Assistant I;Property
306;Software Test Engineer I;Property
307;Internal Auditor;Retail
308;Internal Auditor;Financial Services
309;Geologist IV;Entertainment
310;Media Manager II;Financial Services
311;Programmer IV;Argiculture
312;Programmer IV;Manufacturing
313;Statistician III;Manufacturing
314;Environmental Tech;Argiculture
315;Speech Pathologist;Property
316;Environmental Tech;Financial Services
317;Engineer II;Financial Services
318;VP Sales;Manufacturing
319;Budget/Accounting Analyst III;Financial Services
320;Recruiting Manager;Retail
321;Environmental Specialist;n/a
322;Health Coach II;Retail
323;Project Manager;Property
324;Developer II;Financial Services
325;Help Desk Operator;IT
326;Chief Design Engineer;Property
327;Database Administrator IV;Retail
328;VP Quality Control;Financial Services
329;Help Desk Operator;Health
330;Nurse;Retail
331;Operator;Retail
332;Recruiter;Manufacturing
333;Database Administrator III;Retail
334;Systems Administrator I;n/a
335;Structural Engineer;Entertainment
336;Account Coordinator;Retail
337;Structural Engineer;Manufacturing
338;Sales Associate;Health
339;Human Resources Manager;Retail
340;Structural Engineer;Financial Services
341;Senior Sales Associate;Argiculture
342;Graphic Designer;Health
343;Junior Executive;Property
344;Payment Adjustment Coordinator;Retail
345;Tax Accountant;n/a
346;Accounting Assistant II;IT
347;Systems Administrator I;Financial Services
348;Analog Circuit Design manager;IT
349;VP Product Management;Financial Services
350;General Manager;n/a
351;Recruiter;Retail
352;Web Developer I;n/a
353;Software Engineer II;Health
354;Computer Systems Analyst IV;Financial Services
355;Staff Scientist;IT
356;Assistant Professor;Health
357;Business Systems Development Analyst;Entertainment
358;Office Assistant II;n/a
359;VP Marketing;Financial Services
360;Nurse;Argiculture
361;Marketing Assistant;Financial Services
362;Accounting Assistant I;Retail
363;Computer Systems Analyst II;Health
364;Help Desk Technician;Financial Services
365;Help Desk Technician;Manufacturing
366;GIS Technical Architect;Health
367;Analyst Programmer;Property
368;Director of Sales;Property
369;Systems Administrator III;n/a
370;Health Coach II;Property
371;Research Assistant II;Manufacturing
372;Statistician III;Property
373;Computer Systems Analyst I;Health
374;Nurse;n/a
375;Speech Pathologist;Manufacturing
376;Programmer Analyst IV;n/a
377;Systems Administrator II;n/a
378;Health Coach I;Health
379;Accounting Assistant I;Manufacturing
380;Automation Specialist IV;Property
381;Human Resources Manager;Manufacturing
382;Accountant II;Financial Services
383;Assistant Manager;Health
384;Tax Accountant;Health
385;Staff Scientist;Financial Services
386;Graphic Designer;Financial Services
387;General Manager;Manufacturing
388;Automation Specialist III;Manufacturing
389;Safety Technician II;Manufacturing
390;Sales Associate;IT
391;Human Resources Assistant I;n/a
392;Research Associate;n/a
393;Business Systems Development Analyst;Retail
394;Analog Circuit Design manager;Retail
395;Developer II;n/a
396;Administrative Assistant I;Financial Services
397;Health Coach IV;Health
398;Senior Developer;IT
399;GIS Technical Architect;Argiculture
400;Executive Secretary;Retail
401;Senior Developer;Entertainment
402;Assistant Professor;n/a
403;Database Administrator IV;Property
404;Media Manager III;Health
405;Engineer II;Health
406;Programmer Analyst II;n/a
407;Environmental Specialist;Entertainment
408;Account Representative IV;IT
409;Help Desk Technician;n/a
410;Quality Engineer;Retail
411;Media Manager IV;Financial Services
412;Safety Technician II;IT
413;Accountant III;Financial Services
414;Account Representative III;n/a
415;Marketing Manager;IT
416;Analog Circuit Design manager;Financial Services
417;Web Designer IV;n/a
418;Assistant Manager;Financial Services
419;Business Systems Development Analyst;n/a
420;Environmental Specialist;Argiculture
421;Analyst Programmer;Retail
422;Business Systems Development Analyst;Financial Services
423;Speech Pathologist;Financial Services
424;Media Manager II;Health
425;Budget/Accounting Analyst II;Manufacturing
426;Web Developer IV;Argiculture
427;Software Consultant;IT
428;Community Outreach Specialist;Entertainment
429;Accounting Assistant IV;Manufacturing
430;Staff Accountant III;Health
431;Accounting Assistant III;IT
432;Professor;Manufacturing
433;Programmer I;IT
434;Account Coordinator;Manufacturing
435;Geologist IV;n/a
436;Technical Writer;n/a
437;Safety Technician I;n/a
438;Biostatistician III;Health
439;Software Test Engineer IV;Health
440;Account Representative III;Health
441;Analog Circuit Design manager;Manufacturing
442;Product Engineer;Manufacturing
443;Internal Auditor;Manufacturing
444;VP Quality Control;Manufacturing
445;Research Assistant IV;Retail
446;Safety Technician II;n/a
447;Structural Analysis Engineer;IT
448;Developer II;Manufacturing
449;Geologist I;Manufacturing
450;Project Manager;n/a
451;Media Manager I;Retail
452;General Manager;Retail
453;Information Systems Manager;Argiculture
454;Desktop Support Technician;Telecommunications
455;VP Marketing;n/a
456;Account Representative I;Financial Services
457;Structural Engineer;IT
458;Physical Therapy Assistant;IT
459;Recruiter;IT
460;Web Designer IV;Property
461;Statistician IV;Financial Services
462;Accounting Assistant III;Health
463;Accountant IV;Manufacturing
464;Office Assistant II;IT
465;Geologist I;IT
466;Business Systems Development Analyst;Health
467;Staff Scientist;Retail
468;Operator;n/a
469;Biostatistician I;Financial Services
470;Structural Analysis Engineer;Property
471;Budget/Accounting Analyst IV;Entertainment
472;Recruiter;n/a
473;Operator;Financial Services
474;Computer Systems Analyst II;n/a
475;Professor;Telecommunications
476;Help Desk Operator;Retail
477;Human Resources Assistant IV;Manufacturing
478;Technical Writer;Retail
479;Human Resources Manager;n/a
480;Research Associate;Manufacturing
481;Biostatistician IV;Health
482;Budget/Accounting Analyst I;n/a
483;Assistant Professor;Financial Services
484;Structural Engineer;Retail
485;Speech Pathologist;Retail
486;Accountant IV;IT
487;Data Coordiator;Health
488;Administrative Assistant IV;n/a
489;Automation Specialist IV;IT
490;Staff Accountant III;n/a
491;Budget/Accounting Analyst I;Manufacturing
492;Geologist III;Health
493;Programmer I;Manufacturing
494;Office Assistant I;Manufacturing
495;Director of Sales;Manufacturing
496;Project Manager;Financial Services
497;Account Coordinator;Argiculture
498;Assistant Manager;IT
499;Teacher;Telecommunications
500;Business Systems Development Analyst;IT
501;Design Engineer;IT
502;Quality Control Specialist;Telecommunications
503;Nurse;Financial Services
504;Software Test Engineer III;n/a
505;Physical Therapy Assistant;Retail
506;Senior Developer;Property
507;Web Developer I;Health
508;Help Desk Operator;Manufacturing
509;Human Resources Assistant II;Manufacturing
510;Mechanical Systems Engineer;Retail
511;Quality Engineer;IT
512;Statistician I;Financial Services
513;Human Resources Assistant II;Financial Services
514;Budget/Accounting Analyst II;n/a
515;Software Consultant;Property
516;Software Consultant;Telecommunications
517;Help Desk Technician;Property
518;Junior Executive;Financial Services
519;Data Coordiator;Manufacturing
520;Software Test Engineer IV;Manufacturing
521;Account Representative III;Entertainment
522;Associate Professor;Argiculture
523;Recruiter;Telecommunications
524;Engineer IV;Financial Services
525;Web Designer I;Telecommunications
526;Account Representative IV;n/a
